類別,代碼,說明
限制條件代碼,AD1,限博士班
限制條件代碼,CD1,限本系所學生(含輔系、雙修生)
限制條件代碼,AM1,限碩士班以上
限制條件代碼,CD2,限外系(所)學生
限制條件代碼,AU0,限大學部學生
限制條件代碼,CG1,限文學院學生
限制條件代碼,AU1,限大學部二年級以上
限制條件代碼,CG2,限理學院學生
限制條件代碼,AU2,限大學部三年級以上
限制條件代碼,CG3,限社會科學院學生
限制條件代碼,AU3,限大學部四年級以上
限制條件代碼,CG4,限醫學院學生
限制條件代碼,AU4,限大學部五年級以上
限制條件代碼,CG5,限工學院學生
限制條件代碼,AU5,限大學部六年級以上
限制條件代碼,CG6,限生農學院學生
限制條件代碼,AX1,限體育一或健康體適能
限制條件代碼,CG7,限管理學院學生
限制條件代碼,AX2,限體育二或專項運動學群
限制條件代碼,CG8,限公衛學院學生
限制條件代碼,AX3,限體育三/四
限制條件代碼,CG9,限電資學院學生
限制條件代碼,AX4,限體育五至八或選修體育 CGA 限法律學院學生
限制條件代碼,AY1,限學士班一年級 CGB 限生命科學院學生
限制條件代碼,AY2,限學士班二年級
限制條件代碼,DD1,限修輔系、雙主修
限制條件代碼,AY3,限學士班三年級
限制條件代碼,DD2,限僑生、國際學生
限制條件代碼,AY4,限學士班四年級
限制條件代碼,DD3,限日間部學生
限制條件代碼,B20,本系限學號雙號
限制條件代碼,DD4,限轉學生、轉系生
限制條件代碼,B21,本系限學號單號
限制條件代碼,DD5,限碩、博士在職專班生
限制條件代碼,B30,本系限學號末二位被3整除
限制條件代碼,DD6,限碩士在職專班生
限制條件代碼,B31,本系限學號末二位被3餘1
限制條件代碼,DD7,限博士在職專班生
限制條件代碼,B32,本系限學號末二位被3餘2
限制條件代碼,DD8,限EMBA班學生
限制條件代碼,B40,本系限學號末二位被4整除
限制條件代碼,DD9,限國際學生
限制條件代碼,B41,本系限學號末二位被4餘1 DDA 限GMBA班學位生
限制條件代碼,B42,本系限學號末二位被4餘2
限制條件代碼,E01,限男生
限制條件代碼,B43,本系限學號末二位被4餘3
限制條件代碼,E02,限女生
限制條件代碼,B50,本系限學號末二位被5整除
限制條件代碼,F20,限學號雙號
限制條件代碼,B51,本系限學號末二位被5餘1
限制條件代碼,F21,限學號單號
限制條件代碼,B52,本系限學號末二位被5餘2
限制條件代碼,+,或(任一條件符合即可)
限制條件代碼,B53,本系限學號末二位被5餘3
限制條件代碼,*,且(全部條件均需符合)
限制條件代碼,B54,本系限學號末二位被5餘4
限制條件代碼,B60,本系限學號末二位被6整除
限制條件代碼,B61,本系限學號末二位被6餘1
限制條件代碼,B62,本系限學號末二位被6餘2
限制條件代碼,B63,本系限學號末二位被6餘3
限制條件代碼,B64,本系限學號末二位被6餘4
限制條件代碼,B65,本系限學號末二位被6餘5
限制條件代碼,B70,本系限學號末二位被7整除
限制條件代碼,B71,本系限學號末二位被7餘1
限制條件代碼,B72,本系限學號末二位被7餘2
限制條件代碼,B73,本系限學號末二位被7餘3
限制條件代碼,B74,本系限學號末二位被7餘4
限制條件代碼,B75,本系限學號末二位被7餘5
限制條件代碼,B76,本系限學號末二位被7餘6
上課時間說明,一56,星期一第5、6節
上課時間說明,S一12 四12,單週星期一第1、2節及星期四第1、2節
上課時間說明,T一56,雙週星期一第5、6節
